,Rank,Year,Country,In-Game Name,Player Name,Total (Year),Total (Overall),Game,# of Tournaments
56,57.,2012,"Korea, Republic of",MMA,"Moon, Sung Won","$45,512.07","$407,169.17","Moon ""MMA"" Sung Won - StarCraft II Player",111
57,58.,2012,Macao,DDC,"Liang, Fa Ming","$43,568.82","$1,345,435.47","Liang ""DDC"" Fa Ming - Dota 2 Player",79
58,59.,2012,China,Sylar,"Liu, Jiajun","$43,568.82","$1,227,612.19","Liu ""Sylar"" Jiajun - Dota 2 Player",92
59,60.,2012,China,Yao,"Yao, Zhengzheng","$43,568.82","$1,192,081.08","Yao ""Yao"" Zhengzheng - Dota 2 Player",65
60,61.,2012,China,DD,"Xie, Bin","$43,568.82","$203,498.01","Xie ""DD"" Bin - Dota 2 Player",25
61,62.,2012,Spain,VortiX,Juan Moreno Durán,"$43,395.69","$125,390.42","Juan ""VortiX"" Moreno Durán - Age of Empires Player",109
62,63.,2012,United States,Xpecial,Alex Chu,"$43,085.69","$107,851.21","Alex ""Xpecial"" Chu - League of Legends Player",53
63,64.,2012,Canada,TheOddOne,Brian Wyllie,"$43,085.69","$83,322.95","Brian ""TheOddOne"" Wyllie - Teamfight Tactics Player",51
64,65.,2012,United States,Reginald,Andy Dinh,"$43,085.69","$80,280.10","Andy ""Reginald"" Dinh - League of Legends Player",46
65,66.,2012,Canada,Chaox,Shan Huang,"$43,085.69","$52,522.95","Shan ""Chaox"" Huang - League of Legends Player",42
66,67.,2012,China,xiao8,"Zhang, Ning","$42,568.82","$1,877,434.96","Zhang ""xiao8"" Ning - Dota 2 Player",57
67,68.,2012,China,ClearLove,"Ming, Kai","$42,258.68","$515,326.78","Ming ""ClearLove"" Kai - League of Legends Player",48
68,69.,2012,China,Fzzf,"Feng, Zhuojun","$42,258.68","$164,821.18","Feng ""Fzzf"" Zhuojun - League of Legends Player",29
69,70.,2012,United States,Dyrus,Marcus Hill,"$42,245.69","$158,973.97","Marcus ""Dyrus"" Hill - Apex Legends Player",49
70,71.,2012,"Korea, Republic of",Alicia,"Yang, Joon Sik","$41,014.69","$94,907.10","Yang ""Alicia"" Joon Sik - StarCraft II Player",47
71,72.,2012,"Korea, Republic of",Bomber,"Choi, Ji Sung","$40,054.32","$267,297.83","Choi ""Bomber"" Ji Sung - StarCraft II Player",90
72,73.,2012,"Korea, Republic of",JangBi,"Heo, Yeong Moo","$39,225.43","$156,408.18","Heo ""JangBi"" Yeong Moo - StarCraft: Brood War Player",32
73,74.,2012,Canada,Scarlett,Sasha Hostyn,"$38,278.40","$419,941.19","Sasha ""Scarlett"" Hostyn - Female StarCraft II Player",234
74,75.,2012,"Korea, Republic of",Symbol,"Kang, Dong Hyun","$36,380.45","$94,856.43","Kang ""Symbol"" Dong Hyun - StarCraft II Player",68
75,76.,2012,Canada,Snutz,Kelvin Nguyen,"$35,000.00","$143,208.34","Kelvin ""Snutz"" Nguyen - World of WarCraft Player",23
76,77.,2012,Canada,Venruki,Elliott Venczel,"$35,000.00","$58,183.34","Elliott ""Venruki"" Venczel - World of WarCraft Player",10
77,78.,2012,United States,Kollektiv,Timothy Yen,"$35,000.00","$43,683.33","Timothy ""Kollektiv"" Yen - World of WarCraft Player",7
78,79.,2012,Norway,Snute,Jens Aasgaard,"$33,818.70","$372,788.71","Jens ""Snute"" Aasgaard - StarCraft II Player",310
79,80.,2012,United States,Voyboy,Joe Esfahani,"$32,338.27","$76,873.64","Joe ""Voyboy"" Esfahani - Chess.com Player",39
80,81.,2012,"Korea, Republic of",fOrGG,"Park, Ji Soo","$32,106.94","$239,846.97","Park ""fOrGG"" Ji Soo - StarCraft II Player",78
81,82.,2012,"Korea, Republic of",Genius,"Jung, Min Soo","$31,906.62","$93,775.14","Jung ""Genius"" Min Soo - StarCraft II Player",39
