,Rank,Year,Country,In-Game Name,Player Name,Total (Year),Total (Overall),Game,# of Tournaments
1,2.,2014,China,Banana,"Jiao, Wang","$1,112,281.00","$1,283,122.84","Jiao ""Banana"" Wang - Dota 2 Player",46
2,3.,2014,China,Mu,"Zhang, Pan","$1,098,069.22","$1,390,711.71","Zhang ""Mu"" Pan - Dota 2 Player",48
3,4.,2014,China,SanSheng,"Wang, Zhaohui","$1,098,069.22","$1,211,061.38","Wang ""SanSheng"" Zhaohui - Dota 2 Player",48
4,5.,2014,China,xiao8,"Zhang, Ning","$1,032,369.95","$1,877,434.96","Zhang ""xiao8"" Ning - Dota 2 Player",57
5,6.,2014,China,fy,"Xu, Linsen","$380,809.65","$3,042,472.38","Xu ""fy"" Linsen - Dota 2 Player",97
6,7.,2014,China,Fenrir,"Lu, Chao","$380,809.65","$1,402,208.92","Lu ""Fenrir"" Chao - Dota 2 Player",76
7,8.,2014,China,Super,"Xie, Junhao","$380,745.48","$1,765,126.18","Xie ""Super"" Junhao - Dota 2 Player",93
8,9.,2014,Singapore,iceiceice,"Koh, Daryl Pei Xiang","$319,366.63","$1,769,541.96","Koh ""iceiceice"" Daryl Pei Xiang - Dota 2 Player",101
9,10.,2014,China,Sylar,"Liu, Jiajun","$314,277.65","$1,227,612.19","Liu ""Sylar"" Jiajun - Dota 2 Player",92
10,11.,2014,United States,ppd,Peter Dager,"$313,093.63","$3,029,331.36","Peter ""ppd"" Dager - Dota 2 Player",96
11,12.,2014,Canada,Arteezy,Artour Babaev,"$313,093.63","$2,468,733.21","Artour ""Arteezy"" Babaev - Dota 2 Player",106
12,13.,2014,Sweden,Zai,Ludwig Wåhlberg,"$312,093.63","$3,266,749.02","Ludwig ""Zai"" Wåhlberg - Dota 2 Player",106
13,14.,2014,United States,UNiVeRsE,Saahil Arora,"$312,093.63","$3,057,237.67","Saahil ""UNiVeRsE"" Arora - Dota 2 Player",95
14,15.,2014,China,rOtK,"Bai, Fan","$307,128.87","$800,946.63","Bai ""rOtK"" Fan - Dota 2 Player",52
15,16.,2014,China,MMY!,"Lei, Zengrong","$256,139.33","$1,112,600.81","Lei ""MMY!"" Zengrong - Dota 2 Player",68
16,17.,2014,Malaysia,Mushi,"Chai, Yee Fung","$248,900.16","$1,026,918.67","Chai ""Mushi"" Yee Fung - Dota 2 Player",90
17,18.,2014,China,LaNm,"Zhang, Zhicheng","$245,685.86","$1,519,764.73","Zhang ""LaNm"" Zhicheng - Dota 2 Player",79
18,19.,2014,China,BurNIng,"Xu, Zhilei","$245,685.86","$896,625.35","Xu ""BurNIng"" Zhilei - Dota 2 Player",78
19,20.,2014,United States,mason,Mason Venne,"$231,961.93","$333,197.03","Mason ""mason"" Venne - Dota 2 Player",22
20,21.,2014,"Korea, Republic of",PawN,"Heo, Won Seok","$224,294.45","$440,580.94","Heo ""PawN"" Won Seok - League of Legends Player",28
21,22.,2014,"Korea, Republic of",Looper,"Jang, Hyeong Seok","$223,769.37","$346,307.48","Jang ""Looper"" Hyeong Seok - League of Legends Player",17
22,23.,2014,"Korea, Republic of",DanDy,"Choi, In Kyu","$223,769.37","$282,459.07","Choi ""DanDy"" In Kyu - Arena of Valor Player",27
23,24.,2014,"Korea, Republic of",imp,"Gu, Seung Bin","$223,177.74","$318,379.81","Gu ""imp"" Seung Bin - League of Legends Player",27
24,25.,2014,"Korea, Republic of",Mata,"Cho, Se Hyeong","$221,918.20","$533,979.52","Cho ""Mata"" Se Hyeong - League of Legends Player",38
25,26.,2014,China,Rabbit,"Zhang, Wang","$219,978.31","$270,410.27","Zhang ""Rabbit"" Wang - Dota 2 Player",31
26,27.,2014,Canada,EternaLEnVy,Jacky Mao,"$218,098.03","$992,222.69","Jacky ""EternaLEnVy"" Mao - Dota 2 Player",110
27,28.,2014,Canada,Aui_2000,Kurtis Ling,"$215,791.69","$2,008,582.54","Kurtis ""Aui_2000"" Ling - Dota 2 Player",86
28,29.,2014,Sweden,pieliedie,Johan Åström,"$211,791.69","$989,390.86","Johan ""pieliedie"" Åström - Dota 2 Player",84
29,30.,2014,Romania,bOne7,Pittner Armand,"$204,594.69","$328,282.89","Pittner ""bOne7"" Armand - Dota 2 Player",59
30,31.,2014,Germany,KuroKy,Kuro Takhasomi,"$189,893.70","$5,215,504.15","Kuro ""KuroKy"" Takhasomi - Dota 2 Player",118
31,32.,2014,Estonia,Puppey,Clement Ivanov,"$189,893.70","$3,607,594.23","Clement ""Puppey"" Ivanov - Dota 2 Player",136
32,33.,2014,China,Faith,"Zeng, Hongda","$187,522.20","$1,764,520.75","Zeng ""Faith"" Hongda - Dota 2 Player",106
33,34.,2014,China,Ferrari_430,"Luo, Feichi","$186,539.50","$597,659.08","Luo ""Ferrari_430"" Feichi - Dota 2 Player",71
34,35.,2014,Netherlands,SingSing,Weh Sing Yuen,"$178,174.39","$219,442.03","Weh Sing ""SingSing"" Yuen - Dota 2 Player",59
35,36.,2014,China,YYF,"Jiang, Cen","$177,068.73","$443,434.96","Jiang ""YYF"" Cen - Dota 2 Player",41
36,37.,2014,Malaysia,ChuaN,"Wong, Hock Chuan","$171,666.48","$740,982.93","Wong ""ChuaN"" Hock Chuan - Dota 2 Player",65
37,38.,2014,China,Xi,"Luo, Yinqi","$171,666.48","$297,575.13","Luo ""Xi"" Yinqi - Dota 2 Player",44
38,39.,2014,Ukraine,Dendi,Danil Ishutin,"$168,494.11","$809,470.53","Danil ""Dendi"" Ishutin - Dota 2 Player",116
39,40.,2014,Ukraine,XBOCT,Oleksandr Dashkevych,"$167,940.71","$662,208.09","Oleksandr ""XBOCT"" Dashkevych - Dota 2 Player",77
40,41.,2014,Ukraine,Funn1k,Gleb Lipatnikov,"$166,709.11","$421,131.92","Gleb ""Funn1k"" Lipatnikov - Dota 2 Player",89
41,42.,2014,China,DD,"Xie, Bin","$149,609.58","$203,498.01","Xie ""DD"" Bin - Dota 2 Player",25
42,43.,2014,China,Yao,"Yao, Zhengzheng","$148,023.05","$1,192,081.08","Yao ""Yao"" Zhengzheng - Dota 2 Player",65
43,44.,2014,"Korea, Republic of",Life,"Lee, Seung Hyun","$147,449.44","$476,629.17","Lee ""Life"" Seung Hyun - WarCraft III Player",77
44,45.,2014,Macao,DDC,"Liang, Fa Ming","$147,358.18","$1,345,435.47","Liang ""DDC"" Fa Ming - Dota 2 Player",79
45,46.,2014,China,Lin,"Xu, Ziyang","$141,699.50","$182,047.86","Xu ""Lin"" Ziyang - Dota 2 Player",21
46,47.,2014,"Korea, Republic of",Zest,"Joo, Sung Wook","$141,681.16","$633,427.07","Joo ""Zest"" Sung Wook - StarCraft II Player",359
47,48.,2014,"Korea, Republic of",sOs,"Kim, Yoo Jin","$139,332.68","$647,312.84","Kim ""sOs"" Yoo Jin - StarCraft II Player",102
48,49.,2014,"Korea, Republic of",MMA,"Moon, Sung Won","$126,223.65","$407,169.17","Moon ""MMA"" Sung Won - StarCraft II Player",111
49,50.,2014,United States,C6,Ian Porter,"$125,053.01","$1,333,092.80","Ian ""C6"" Porter - Call of Duty Player",165
50,51.,2014,United States,Aches,Patrick Price,"$122,354.26","$482,231.76","Patrick ""Aches"" Price - Call of Duty Player",89
51,52.,2014,Canada,Karma,Damon Barlow,"$121,369.26","$833,962.25","Damon ""Karma"" Barlow - Call of Duty Player",123
52,53.,2014,United States,TeePee,Tyler Polchow,"$119,653.01","$344,453.71","Tyler ""TeePee"" Polchow - Call of Duty Player",106
53,54.,2014,United States,Firebat,James Kostesich,"$105,736.06","$272,615.60","James ""Firebat"" Kostesich - Hearthstone Player",51
54,55.,2014,China,Tiddler Celestial,"Wang, Xieyu","$101,344.99","$165,348.34","Wang ""Tiddler Celestial"" Xieyu - Hearthstone Player",15
55,56.,2014,"Korea, Republic of",Classic,"Kim, Doh Woo","$99,701.82","$483,754.08","Kim ""Classic"" Doh Woo - StarCraft II Player",111
56,57.,2014,China,LiBo,"Li, Bo","$99,350.90","$100,759.37","Li ""LiBo"" Bo - Hearthstone Player",4
57,58.,2014,Sweden,s4,Gustav Magnusson,"$97,541.19","$2,735,863.91","Gustav ""s4"" Magnusson - Dota 2 Player",135
58,59.,2014,"Korea, Republic of",INnoVation,"Lee, Shin Hyung","$95,917.60","$795,908.70","Lee ""INnoVation"" Shin Hyung - StarCraft II Player",269
59,60.,2014,"Korea, Republic of",HyuN,"Ko, Seok Hyun","$91,587.34","$236,632.41","Ko ""HyuN"" Seok Hyun - StarCraft: Brood War Player",203
60,61.,2014,"Korea, Republic of",Bomber,"Choi, Ji Sung","$90,617.67","$267,297.83","Choi ""Bomber"" Ji Sung - StarCraft II Player",90
61,62.,2014,China,ClearLove,"Ming, Kai","$90,312.71","$515,326.78","Ming ""ClearLove"" Kai - League of Legends Player",48
62,63.,2014,China,Koro1,"Tong, Yang","$90,312.71","$260,755.41","Tong ""Koro1"" Yang - League of Legends Player",24
63,64.,2014,"Korea, Republic of",TaeJa,"Yoon, Young Suh","$84,627.44","$303,704.63","Yoon ""TaeJa"" Young Suh - StarCraft II Player",118
64,65.,2014,China,Fzzf,"Feng, Zhuojun","$83,890.55","$164,821.18","Feng ""Fzzf"" Zhuojun - League of Legends Player",29
65,66.,2014,China,NaMei,"Zhu, Jia Wen","$83,890.55","$141,938.87","Zhu ""NaMei"" Jia Wen - League of Legends Player",21
66,67.,2014,China,U,"Ceng, Long","$83,890.55","$107,432.88","Ceng ""U"" Long - League of Legends Player",16
67,68.,2014,China,Infi,"Wang, Xu Wen","$82,964.57","$476,324.87","Wang ""Infi"" Xu Wen - WarCraft III: Reforged Player",138
68,69.,2014,"Korea, Republic of",Apdo,"Jeong, Sang Gil","$81,616.50","$81,616.50","Jeong ""Apdo"" Sang Gil - League of Legends Player",1
69,70.,2014,Germany,FATA,Adrian Trinks,"$81,601.52","$1,370,688.82","Adrian ""FATA"" Trinks - Dota 2 Player",115
70,71.,2014,"Korea, Republic of",inSec,"Choi, In Seok","$80,263.89","$134,644.84","Choi ""inSec"" In Seok - League of Legends Player",25
71,72.,2014,Denmark,N0tail,Johan Sundstein,"$79,872.93","$7,183,917.80","Johan ""N0tail"" Sundstein - Dota 2 Player",130
72,73.,2014,United States,Fear,Clinton Loomis,"$78,712.09","$2,564,313.19","Clinton ""Fear"" Loomis - Dota 2 Player",101
73,74.,2014,China,Uzi,"Jian, Zihao","$74,330.46","$545,447.56","Jian ""Uzi"" Zihao - League of Legends Player",41
74,75.,2014,Germany,Black^,Dominik Reitmeier,"$73,937.43","$241,228.89","Dominik ""Black^"" Reitmeier - Dota 2 Player",55
75,76.,2014,"Korea, Republic of",dade,"Bae, Eo Jin","$72,715.18","$118,986.53","Bae ""dade"" Eo Jin - League of Legends Player",17
76,77.,2014,Sweden,EGM,Jerry Lundqvist,"$71,688.60","$679,039.12","Jerry ""EGM"" Lundqvist - Dota 2 Player",85
77,78.,2014,United States,Nameless,Anthony Wheeler,"$71,112.45","$135,413.41","Anthony ""Nameless"" Wheeler - Call of Duty Player",69
78,79.,2014,United States,MerK,Joseph DeLuca,"$70,362.45","$257,266.55","Joseph ""MerK"" DeLuca - Call of Duty Player",63
79,80.,2014,China,Corn,"Lei, Wen","$67,878.98","$82,070.17","Lei ""Corn"" Wen - League of Legends Player",13
80,81.,2014,"Korea, Republic of",Deft,"Kim, Hyuk Kyu","$67,789.40","$436,678.10","Kim ""Deft"" Hyuk Kyu - League of Legends Player",48
81,82.,2014,"Korea, Republic of",san,"Kang, Cho-Won","$67,785.26","$109,440.09","Kang ""san"" Cho-Won - StarCraft II Player",61
82,83.,2014,Sweden,Loda,Jonathan Berg,"$66,988.39","$704,857.44","Jonathan ""Loda"" Berg - Dota 2 Player",100
83,84.,2014,"Korea, Republic of",MC,"Jang, Min Chul","$66,472.76","$509,852.06","Jang ""MC"" Min Chul - StarCraft II Player",117
84,85.,2014,"Korea, Republic of",Polt,"Choi, Sung Hoon","$66,430.09","$451,943.24","Choi ""Polt"" Sung Hoon - StarCraft II Player",139
85,86.,2014,"Korea, Republic of",Spirit,"Lee, Da Yoon","$66,226.67","$158,378.62","Lee ""Spirit"" Da Yoon - League of Legends Player",27
86,87.,2014,Norway,Snute,Jens Aasgaard,"$65,640.78","$372,788.71","Jens ""Snute"" Aasgaard - StarCraft II Player",310
87,88.,2014,Sweden,AdmiralBulldog,Henrik Ahnberg,"$65,200.99","$639,563.79","Henrik ""AdmiralBulldog"" Ahnberg - Fall Guys Player",74
88,89.,2014,Sweden,Akke,Joakim Akterhall,"$65,107.39","$649,791.42","Joakim ""Akke"" Akterhall - Dota 2 Player",96
89,90.,2014,"Korea, Republic of",Acorn,"Choi, Cheon Ju","$64,581.44","$109,619.63","Choi ""Acorn"" Cheon Ju - League of Legends Player",25
90,91.,2014,"Korea, Republic of",Zero,"Yoon, Kyung Sup","$64,368.03","$229,438.65","Yoon ""Zero"" Kyung Sup - League of Legends Player",21
91,92.,2014,"Korea, Republic of",StarDust,"Son, Seok Hee","$63,482.16","$111,579.95","Son ""StarDust"" Seok Hee - StarCraft II Player",50
92,93.,2014,"Korea, Republic of",soO,"Eu, Yoon Su","$63,382.09","$626,054.86","Eu ""soO"" Yoon Su - StarCraft II Player",167
93,94.,2014,"Korea, Republic of",Jaedong,"Lee, Jae Dong","$62,947.64","$643,290.35","Lee ""Jaedong"" Jae Dong - StarCraft: Brood War Player",111
94,95.,2014,China,Cola,"Jiang, Na","$62,359.39","$64,296.04","Jiang ""Cola"" Na - League of Legends Player",7
95,96.,2014,"Korea, Republic of",Heart,"Lee, Kwan Hyung","$61,367.24","$75,509.93","Lee ""Heart"" Kwan Hyung - League of Legends Player",21
96,97.,2014,Russian Federation,VANSKOR,Ivan Skorokhod,"$60,194.18","$169,897.96","Ivan ""VANSKOR"" Skorokhod - Dota 2 Player",103
97,98.,2014,Denmark,MiSeRy,Rasmus Fillipsen,"$59,636.03","$1,503,291.67","Rasmus ""MiSeRy"" Fillipsen - Dota 2 Player",90
98,99.,2014,"Taiwan, Republic of China",Morning,"Chen, Kuan Ting","$58,666.92","$86,907.07","Chen ""Morning"" Kuan Ting - League of Legends Player",20
99,100.,2014,"Taiwan, Republic of China",Jay,"Li, Chieh","$58,666.92","$75,696.57","Li ""Jay"" Chieh - League of Legends Player",18
0,1.,2015,Pakistan,SumaiL,Sumail Hassan,"$1,730,083.34","$3,818,084.01","Sumail ""SumaiL"" Hassan - Dota 2 Player",74
1,2.,2015,United States,UNiVeRsE,Saahil Arora,"$1,730,083.34","$3,057,237.67","Saahil ""UNiVeRsE"" Arora - Dota 2 Player",95
2,3.,2015,United States,ppd,Peter Dager,"$1,730,083.34","$3,029,331.36","Peter ""ppd"" Dager - Dota 2 Player",96
3,4.,2015,United States,Fear,Clinton Loomis,"$1,730,083.34","$2,564,313.19","Clinton ""Fear"" Loomis - Dota 2 Player",101
4,5.,2015,Canada,Aui_2000,Kurtis Ling,"$1,641,751.74","$2,008,582.54","Kurtis ""Aui_2000"" Ling - Dota 2 Player",86
5,6.,2015,China,Q,"Fu, Bin","$651,447.48","$1,081,544.74","Fu ""Q"" Bin - Dota 2 Player",46
6,7.,2015,China,Agressif,"Sun, Zheng","$651,447.48","$871,452.21","Sun ""Agressif"" Zheng - Dota 2 Player",43
7,8.,2015,China,garder,"Liu, Xinzhou","$651,447.48","$705,536.20","Liu ""garder"" Xinzhou - Dota 2 Player",33
8,9.,2015,China,Xz,"Chen, Zezhi","$644,599.28","$692,327.42","Chen ""Xz"" Zezhi - Dota 2 Player",25
9,10.,2015,China,Shiki,"Huang, Jiwei","$644,599.28","$653,514.33","Huang ""Shiki"" Jiwei - Dota 2 Player",16
10,11.,2015,China,Sylar,"Liu, Jiajun","$597,319.63","$1,227,612.19","Liu ""Sylar"" Jiajun - Dota 2 Player",92
11,12.,2015,China,MMY!,"Lei, Zengrong","$597,319.63","$1,112,600.81","Lei ""MMY!"" Zengrong - Dota 2 Player",68
12,13.,2015,China,Somnus丶M,Lu Yao,"$581,882.72","$3,132,764.18","Lu ""Somnus丶M"" Yao - Dota 2 Player",77
13,14.,2015,China,xiao8,"Zhang, Ning","$560,409.39","$1,877,434.96","Zhang ""xiao8"" Ning - Dota 2 Player",57
14,15.,2015,China,Yao,"Yao, Zhengzheng","$532,526.43","$1,192,081.08","Yao ""Yao"" Zhengzheng - Dota 2 Player",65
15,16.,2015,China,fy,"Xu, Linsen","$499,214.36","$3,042,472.38","Xu ""fy"" Linsen - Dota 2 Player",97
16,17.,2015,Singapore,iceiceice,"Koh, Daryl Pei Xiang","$499,214.36","$1,769,541.96","Koh ""iceiceice"" Daryl Pei Xiang - Dota 2 Player",101
17,18.,2015,China,Super,"Xie, Junhao","$499,214.36","$1,765,126.18","Xie ""Super"" Junhao - Dota 2 Player",93
18,19.,2015,China,Fenrir,"Lu, Chao","$499,214.36","$1,402,208.92","Lu ""Fenrir"" Chao - Dota 2 Player",76
19,20.,2015,Estonia,Puppey,Clement Ivanov,"$445,455.22","$3,607,594.23","Clement ""Puppey"" Ivanov - Dota 2 Player",136
20,21.,2015,Sweden,s4,Gustav Magnusson,"$392,417.86","$2,735,863.91","Gustav ""s4"" Magnusson - Dota 2 Player",135
21,22.,2015,Canada,Arteezy,Artour Babaev,"$389,362.42","$2,468,733.21","Artour ""Arteezy"" Babaev - Dota 2 Player",106
22,23.,2015,China,Hao,"Chen, Zhihao","$383,286.26","$1,761,646.83","Chen ""Hao"" Zhihao - Dota 2 Player",59
23,24.,2015,China,LaNm,"Zhang, Zhicheng","$359,832.85","$1,519,764.73","Zhang ""LaNm"" Zhicheng - Dota 2 Player",79
24,25.,2015,Denmark,N0tail,Johan Sundstein,"$349,255.11","$7,183,917.80","Johan ""N0tail"" Sundstein - Dota 2 Player",130
25,26.,2015,China,rOtK,"Bai, Fan","$348,731.01","$800,946.63","Bai ""rOtK"" Fan - Dota 2 Player",52
26,27.,2015,Germany,KuroKy,Kuro Takhasomi,"$333,892.82","$5,215,504.15","Kuro ""KuroKy"" Takhasomi - Dota 2 Player",118
27,28.,2015,Ukraine,DkPhobos,Alexander Kucheria,"$328,916.71","$383,241.65","Alexander ""DkPhobos"" Kucheria - Dota 2 Player",45
28,29.,2015,Belarus,fng,Artem Barshack,"$326,829.49","$776,450.39","Artem ""fng"" Barshack - Dota 2 Player",104
29,30.,2015,Ukraine,Lil,Ilya Ilyuk,"$323,549.69","$928,199.86","Ilya ""Lil"" Ilyuk - Dota 2 Player",72
30,31.,2015,Russian Federation,G,Sergey Bragin,"$320,471.57","$435,647.82","Sergey ""G"" Bragin - Dota 2 Player",82
31,32.,2015,Russian Federation,Illidan,Ilya Pevcaev,"$319,660.49","$388,105.59","Ilya ""Illidan"" Pevcaev - Dota 2 Player",78
32,33.,2015,Macao,DDC,"Liang, Fa Ming","$319,566.58","$1,345,435.47","Liang ""DDC"" Fa Ming - Dota 2 Player",79
33,34.,2015,China,Cty,"Chen, Tianyu","$316,122.82","$374,326.26","Chen ""Cty"" Tianyu - Dota 2 Player",24
34,35.,2015,Sweden,Zai,Ludwig Wåhlberg,"$300,056.42","$3,266,749.02","Ludwig ""Zai"" Wåhlberg - Dota 2 Player",106
35,36.,2015,Israel,Fly,Tal Aizik,"$292,596.67","$2,610,250.81","Tal ""Fly"" Aizik - Dota 2 Player",123
36,37.,2015,Canada,MoonMeander,David Tan,"$292,596.67","$1,007,970.83","David ""MoonMeander"" Tan - Dota 2 Player",82
37,38.,2015,United States,BaRRaCCuDDa,John Salter,"$279,976.00","$337,506.65","John ""BaRRaCCuDDa"" Salter - SMITE Player",19
38,39.,2015,United States,JeffHindla,Rosario Villardi,"$279,976.00","$322,714.31","Rosario ""JeffHindla"" Villardi - SMITE Player",17
39,40.,2015,United States,Andinster,Andrew Woodward,"$279,976.00","$321,506.65","Andrew ""Andinster"" Woodward - SMITE Player",18
40,41.,2015,United States,MLCst3alth,Brett Felley,"$279,976.00","$313,506.65","Brett ""MLCst3alth"" Felley - SMITE Player",13
41,42.,2015,United States,Omegatron,Ryan Johnson,"$273,976.00","$301,506.65","Ryan ""Omegatron"" Johnson - SMITE Player",11
42,43.,2015,China,NeverEnd,"Yang, Pu","$261,231.42","$426,681.98","Yang ""NeverEnd"" Pu - Dota 2 Player",34
43,44.,2015,Jordan,Miracle-,Amer Al-Barkawi,"$248,925.05","$4,818,441.68","Amer ""Miracle-"" Al-Barkawi - Dota 2 Player",70
44,45.,2015,Denmark,Cr1t,Andreas Nielsen,"$248,165.60","$2,219,521.60","Andreas ""Cr1t"" Nielsen - Dota 2 Player",80
45,46.,2015,Denmark,MiSeRy,Rasmus Fillipsen,"$246,488.31","$1,503,291.67","Rasmus ""MiSeRy"" Fillipsen - Dota 2 Player",90
46,47.,2015,Canada,EternaLEnVy,Jacky Mao,"$246,488.31","$992,222.69","Jacky ""EternaLEnVy"" Mao - Dota 2 Player",110
47,48.,2015,"Korea, Republic of",Faker,"Lee, Sang Hyeok","$207,158.85","$1,309,607.54","Lee ""Faker"" Sang Hyeok - League of Legends Player",56
48,49.,2015,"Korea, Republic of",Easyhoon,"Lee, Ji Hoon","$205,179.93","$249,497.86","Lee ""Easyhoon"" Ji Hoon - League of Legends Player",27
49,50.,2015,"Korea, Republic of",Wolf,"Lee, Jae Wan","$203,688.54","$913,084.70","Lee ""Wolf"" Jae Wan - League of Legends Player",35
50,51.,2015,"Korea, Republic of",MaRin,"Jang, Gyeong Hwan","$200,602.94","$219,660.30","Jang ""MaRin"" Gyeong Hwan - League of Legends Player",16
51,52.,2015,"Korea, Republic of",Bang,"Bae, Jun Sik","$200,139.69","$915,911.99","Bae ""Bang"" Jun Sik - League of Legends Player",34
52,53.,2015,"Korea, Republic of",Bengi,"Bae, Seong Ung","$200,139.69","$810,683.00","Bae ""Bengi"" Seong Ung - League of Legends Player",21
53,54.,2015,"Korea, Republic of",QO,"Kim, Sunyeob","$193,630.02","$591,322.79","Kim ""QO"" Sunyeob - Dota 2 Player",41
54,55.,2015,"Korea, Republic of",March,"Park, Tae Won","$188,630.02","$382,610.97","Park ""March"" Tae Won - Dota 2 Player",39
55,56.,2015,China,BurNIng,"Xu, Zhilei","$185,832.20","$896,625.35","Xu ""BurNIng"" Zhilei - Dota 2 Player",78
56,57.,2015,"Korea, Republic of",Febby,"Kim, Yong Min","$179,325.80","$607,619.88","Kim ""Febby"" Yong Min - Dota 2 Player",42
57,58.,2015,Sweden,flusha,Robin Rönnquist,"$177,821.99","$877,868.95","Robin ""flusha"" Rönnquist - CS:GO Player",176
58,59.,2015,Sweden,olofmeister,Olof Kajbjer,"$175,972.95","$916,652.34","Olof ""olofmeister"" Kajbjer - CS:GO Player",156
59,60.,2015,Sweden,KRiMZ,Freddy Johansson,"$170,372.95","$909,661.90","Freddy ""KRiMZ"" Johansson - CS:GO Player",142
60,61.,2015,Sweden,JW,Jesper Wecksell,"$169,872.95","$911,060.68","Jesper ""JW"" Wecksell - CS:GO Player",169
61,62.,2015,Australia,kpii,Damien Chok,"$167,595.72","$1,829,651.97","Damien ""kpii"" Chok - Dota 2 Player",75
62,63.,2015,Singapore,NutZ,Jeng Yih Wong,"$166,496.55","$230,767.65","Jeng ""NutZ"" Yih Wong - Dota 2 Player",24
63,64.,2015,Romania,w33,Aliwi Omar,"$148,760.84","$2,284,523.58","Aliwi ""w33"" Omar - Dota 2 Player",63
64,65.,2015,Sweden,pieliedie,Johan Åström,"$147,798.80","$989,390.86","Johan ""pieliedie"" Åström - Dota 2 Player",84
65,66.,2015,Japan,Kazunoko,"Ryota, Inoue","$146,813.83","$237,149.37","Ryota ""Kazunoko"" Inoue - Fighting Game Player",64
66,67.,2015,United States,Clayster,James Eubanks,"$144,619.50","$1,198,021.68","James ""Clayster"" Eubanks - Call of Duty Player",130
67,68.,2015,United States,Attach,Dillon Price,"$144,167.00","$534,148.35","Dillon ""Attach"" Price - Call of Duty Player",96
68,69.,2015,Germany,FATA,Adrian Trinks,"$134,925.91","$1,370,688.82","Adrian ""FATA"" Trinks - Dota 2 Player",115
69,70.,2015,Sweden,pronax,Markus Wallsten,"$126,077.53","$235,071.26","Markus ""pronax"" Wallsten - CS:GO Player",107
70,71.,2015,"Korea, Republic of",sOs,"Kim, Yoo Jin","$123,778.05","$647,312.84","Kim ""sOs"" Yoo Jin - StarCraft II Player",102
71,72.,2015,Ukraine,Resolut1on,Roman Fominok,"$122,818.10","$1,471,220.75","Roman ""Resolut1on"" Fominok - Dota 2 Player",106
72,73.,2015,Ukraine,alohadance,Ilya Korobkin,"$122,818.10","$208,043.32","Ilya ""alohadance"" Korobkin - Dota 2 Player",54
73,74.,2015,United States,JKap,Jordan Kaplan,"$120,875.00","$714,188.81","Jordan ""JKap"" Kaplan - Call of Duty Player",97
74,75.,2015,United States,Crowder,Chris Crowder,"$120,080.50","$268,118.84","Chris ""Crowder"" Crowder - Call of Duty Player",68
75,76.,2015,"Korea, Republic of",Life,"Lee, Seung Hyun","$119,562.88","$476,629.17","Lee ""Life"" Seung Hyun - WarCraft III Player",77
76,77.,2015,France,NBK,Nathan Schmitt,"$118,083.29","$839,670.05","Nathan ""NBK"" Schmitt - CS:GO Player",192
77,78.,2015,France,Happy,Vincent Schopenhauer,"$118,083.29","$496,973.56","Vincent ""Happy"" Schopenhauer - VALORANT Player",130
78,79.,2015,China,Ferrari_430,"Luo, Feichi","$117,074.11","$597,659.08","Luo ""Ferrari_430"" Feichi - Dota 2 Player",71
79,80.,2015,China,Xi,"Luo, Yinqi","$117,074.11","$297,575.13","Luo ""Xi"" Yinqi - Dota 2 Player",44
80,81.,2015,Malaysia,ChuaN,"Wong, Hock Chuan","$116,457.63","$740,982.93","Wong ""ChuaN"" Hock Chuan - Dota 2 Player",65
81,82.,2015,United Kingdom,Ataraxia,Nate Mark,"$114,490.40","$166,490.40","Nate ""Ataraxia"" Mark - SMITE Player",12
82,83.,2015,Sweden,PrettyPriMe,Emil Edström,"$114,490.40","$166,490.40","Emil ""PrettyPriMe"" Edström - SMITE Player",12
83,84.,2015,Denmark,Repikas,Thomas Skallabæk,"$114,490.40","$123,727.58","Thomas ""Repikas"" Skallabæk - SMITE Player",8
84,85.,2015,Sweden,KanyeLife,Andreas Christmansson,"$114,490.40","$123,362.04","Andreas ""KanyeLife"" Christmansson - SMITE Player",8
85,86.,2015,Sweden,Loda,Jonathan Berg,"$113,011.71","$704,857.44","Jonathan ""Loda"" Berg - Dota 2 Player",100
86,87.,2015,Sweden,Akke,Joakim Akterhall,"$113,011.71","$649,791.42","Joakim ""Akke"" Akterhall - Dota 2 Player",96
87,88.,2015,United States,SonicFox,Dominique Mclean,"$112,174.00","$700,478.72","Dominique ""SonicFox"" Mclean - Fighting Game Player",128
88,89.,2015,Japan,Daigo,"Umehara, Daigo","$111,814.93","$257,542.51","Umehara ""Daigo"" Daigo - Fighting Game Player",58
89,90.,2015,United States,Firebat,James Kostesich,"$111,592.04","$272,615.60","James ""Firebat"" Kostesich - Hearthstone Player",51
90,91.,2015,Sweden,AdmiralBulldog,Henrik Ahnberg,"$110,857.89","$639,563.79","Henrik ""AdmiralBulldog"" Ahnberg - Fall Guys Player",74
91,92.,2015,"Korea, Republic of",Dawn,"Jang, Hyun Jae","$109,780.04","$143,189.54","Jang ""Dawn"" Hyun Jae - Hearthstone Player",23
92,93.,2015,Sweden,Ostkaka,Sebastian Engwall,"$109,759.42","$153,199.92","Sebastian ""Ostkaka"" Engwall - Hearthstone Player",26
93,94.,2015,Denmark,Confrey,Kevin Confrey,"$109,690.40","$114,690.40","Kevin ""Confrey"" Confrey - SMITE Player",5
94,95.,2015,France,KIOSHIMA,Fabien Fiey,"$109,091.29","$379,045.59","Fabien ""KIOSHIMA"" Fiey - CS:GO Player",136
